num_client;numero_commande;date;montant_des_produits;remise_sur_produits;montant_livraison;remise_sur_livraison;montant_total_paye
ID_623345;376695;11/05/2022;109;-15;10;;104
ID_623345;390180;22/07/2022;141;;17.4;;158.4
ID_623345;390204;22/07/2022;135.95;;17.4;;153.35
ID_623345;397392;03/10/2022;138;-20;7.2;;125.2
ID_623345;404345;18/11/2022;232;-43;17.5;;206.5
ID_623369;336870;07/11/2021;53;;11.2;;64.2
ID_623573;389530;18/07/2022;17.8;;8.49;;26.29
ID_623579;371071;07/04/2022;13.5;;8.49;;21.99
ID_623705;337183;07/11/2021;24;;4.49;;28.49
ID_62377;290787;26/02/2021;270;;29.99;;299.99
ID_62377;291292;26/02/2021;160;;19.49;;179.49
ID_62377;291408;27/02/2021;135;;19.49;-19.49;135
ID_62377;300285;13/04/2021;135;;19.49;;154.49
ID_623810;346229;08/12/2021;171;-15;7.99;-7.99;156
ID_623810;346359;09/12/2021;307;;9.99;-9.99;307
ID_623810;406458;03/12/2022;44;;8.49;;52.49
ID_623902;406057;30/11/2022;12;;4.6;;16.6
ID_623902;407739;09/12/2022;22;;7.2;;29.2
ID_623906;342573;24/11/2021;17;;9.6;;26.6
ID_623906;369370;01/04/2022;11.5;;5.99;;17.49
ID_623958;404380;18/11/2022;25;;8.5;;33.5
ID_624053;338246;11/11/2021;21.5;;9.6;;31.1
ID_624053;363352;21/02/2022;18;;6.8;;24.8
ID_624053;371543;08/04/2022;16;;7.49;;23.49
ID_624053;373994;21/04/2022;29.5;;7.49;;36.99
ID_624053;374411;27/04/2022;22;;7.49;;29.49
ID_624053;376328;08/05/2022;43.5;;12;;55.5
ID_624053;380971;12/06/2022;14;;7.49;;21.49
ID_624053;383928;27/06/2022;6;;6.99;;12.99
ID_624053;390780;27/07/2022;34;;6.99;;40.99
ID_624053;393491;27/12/2022;19;;7.49;;26.49
ID_624053;402023;08/11/2022;41;;7.49;;48.49
ID_624053;403305;14/11/2022;6;;6.99;;12.99
ID_624167;332145;12/10/2021;29;;3.99;;32.99
ID_624167;340868;19/11/2021;18;;3.49;;21.49
ID_624167;369263;01/04/2022;22.5;;4.6;;27.1
ID_624167;378710;29/05/2022;25;;4.2;;29.2
ID_624289;388762;15/07/2022;19.5;;6.5;;26
ID_624448;331942;10/10/2021;29;;6.8;;35.8
ID_624448;348695;26/12/2021;9;;6.8;;15.8
ID_624448;352172;15/01/2022;39;;8;;47
ID_624448;368105;25/03/2022;25.8;;6.8;;32.6
ID_624448;379832;05/06/2022;79;;17.4;;96.4
ID_624448;396909;27/09/2022;34;;6.5;;40.5
ID_624588;335409;03/11/2021;33;;8;;41
ID_624588;379081;31/05/2022;39;;8.49;;47.49
ID_624588;405224;25/11/2022;848;;50;-50;848
ID_624623;334489;31/10/2021;100.5;;19.49;;119.99
ID_624623;344288;30/11/2021;39.95;;3.99;;43.94
ID_624623;358945;01/02/2022;98;;6.49;;104.49
ID_624623;383191;25/06/2022;15;;5.2;;20.2
ID_624630;372836;13/04/2022;57;;10;;67
ID_624834;332292;13/10/2021;90;;5.99;;95.99
ID_624834;395003;14/09/2022;38;;7.2;;45.2
ID_625147;336721;06/11/2021;89;;12.99;;101.99
ID_625147;337278;08/11/2021;104;-20;4.7;;88.7
ID_625491;337148;07/11/2021;18;;3.99;;21.99
ID_62553;327224;15/09/2021;67.35;;12.99;;80.34
ID_625582;332594;14/10/2021;150;-15;12.99;;147.99
ID_625716;332712;15/10/2021;132;-15;4.99;;121.99
ID_625716;354082;19/01/2022;18;;12.99;;30.99
ID_625716;354113;19/01/2022;11.9;;4.99;-4.99;11.9
ID_625716;362643;18/02/2022;69;;4.99;;73.99
ID_625716;362644;18/02/2022;14;;4.49;;18.49
